player,player_id,team,class,poss,position,value_three_pct,value_two_pct,value_ft_pct,value_scoring,color_three_pct,color_two_pct,color_ft_pct,color_scoring,value_assist_rate,value_TO,value_playmaking,color_assist_rate,color_TO,color_playmaking,value_oreb_pct,value_dreb_pct,value_reb_pct,color_oreb_pct,color_dreb_pct,color_reb_pct,value_blk_pct,value_STL,value_PF,value_D,color_blk_pct,color_STL,color_PF,color_D
Khalil Farmer,1890522,UMass Lowell,JR,695,SF,33.289289766333,42.3732569645172,68.7728119138539,15.3980451668885,#FFFFFF,#DCE9F5,#FFFFFF,#DCE9F5,5.38561800825538,2.08963465149511,-1.44228676874791,#DCE9F5,#FFEBD2,#FFFFFF,1.1791780711445,9.69014237156295,10.8693204427075,#CBDEF0,#DCE9F5,#DCE9F5,0.979833870661614,1.31325046021316,6.41407551137369,-2.0410023,#FFFFFF,#DCE9F5,#DCE9F5,#CBDEF0
Isaiah Henderson,2506614,Siena,FR,614,SG,33.1277050916114,49.1930462673753,73.3721333707043,17.1208343254,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,6.50595490107946,2.75396426095199,-3.0579214080039,#FFFFFF,#FFFFFF,#FFFFFF,1.48401081618658,5.96010004947737,7.44411086566396,#DCE9F5,#CBDEF0,#CBDEF0,0.611536613108995,1.17091598820158,4.40160345149863,-2.2175489,#FFFFFF,#DCE9F5,#FFFFFF,#CBDEF0
Alfredo Addesa,2313904,Lehigh,SO,421,PF,30.9700913829824,48.1895525530497,64.611659116031,16.6686619499287,#DCE9F5,#FFFFFF,#DCE9F5,#FFFFFF,7.47425851704143,4.24821676426331,-8.15523457963316,#FFFFFF,#DCE9F5,#DCE9F5,7.63599471573323,17.0959489314153,24.7319436471486,#FFEBD2,#FFEBD2,#FFEBD2,2.55720331576131,1.38695410194057,9.14529914384051,-0.65987527,#FFFFFF,#FFFFFF,#CBDEF0,#FFFFFF
Amaree Brown,2507066,Southern Indiana,JR,718,SG,33.2665421968226,42.9732752034086,76.4344910028364,30.5530658033789,#FFFFFF,#DCE9F5,#FFFFFF,#FFD7A5,9.92240049368102,3.89921803403229,-4.44259967064975,#FFFFFF,#DCE9F5,#FFFFFF,1.81980197486521,10.5011593005527,12.3209612754179,#DCE9F5,#FFFFFF,#DCE9F5,1.31668835179484,1.36116599860033,4.88602685482133,-2.0842785,#FFFFFF,#FFFFFF,#FFFFFF,#CBDEF0
Kordrick Turner,2569010,Northwestern State,JR,647,PF,31.9615353331501,49.9056111624411,64.6303588535806,17.4461298848823,#FFFFFF,#FFFFFF,#DCE9F5,#FFFFFF,5.31255740665211,2.49534571698086,-3.14312931899254,#DCE9F5,#FFEBD2,#FFFFFF,7.33287196915659,14.9053236958929,22.2381956650495,#FFFFFF,#FFFFFF,#FFFFFF,0.912382496442563,1.2849498816907,4.92295604324684,-2.2476398,#FFFFFF,#DCE9F5,#FFFFFF,#CBDEF0
Julius Clark,2553896,Gardner-Webb,JR,198,PF,32.1816369610272,53.0201694239673,67.4904738920718,19.7307542950284,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,5.3153769378307,3.02696319513825,-5.27885849731278,#DCE9F5,#FFFFFF,#DCE9F5,4.06846069360833,12.8422150302297,16.910675723838,#FFFFFF,#FFFFFF,#FFFFFF,1.56041034377414,1.24252984616342,6.35972028659637,-1.8219398,#FFFFFF,#DCE9F5,#DCE9F5,#CBDEF0
Stephan Snagg,2119924,Binghamton,JR,752,PF,32.392242733871,51.7848871373685,61.8935407127151,10.6866804672526,#FFFFFF,#FFFFFF,#DCE9F5,#CBDEF0,3.42510330463594,1.68066031376295,-1.6461604840272,#CBDEF0,#FFD7A5,#FFFFFF,5.20888772209597,11.7299440642323,16.9388317863283,#FFFFFF,#FFFFFF,#FFFFFF,1.64757664750558,1.10130362089172,7.34778561295284,-2.3533065,#FFFFFF,#DCE9F5,#DCE9F5,#CBDEF0
Christian Beam,2511312,Georgia State,SO,639,C,32.7268356973535,47.3463492951249,62.1722040704725,11.9368902564151,#FFFFFF,#FFFFFF,#DCE9F5,#DCE9F5,3.18399784160203,3.22109257952612,-8.06980841627034,#CBDEF0,#FFFFFF,#DCE9F5,8.26873307650618,17.041395371557,25.3101284480632,#FFEBD2,#FFEBD2,#FFEBD2,3.605986087566,1.27538908054206,6.63868703191359,-0.22289712,#FFEBD2,#DCE9F5,#DCE9F5,#FFFFFF
Wyatt DeGraaf,2287293,Brown,SO,149,C,31.235740886003,55.433278890283,55.017107604953,13.6608904127939,#DCE9F5,#FFEBD2,#CBDEF0,#DCE9F5,4.29792422691104,3.72680095981666,-9.05344768799867,#DCE9F5,#FFFFFF,#CBDEF0,5.01322063853673,15.37030839836,20.3835290368967,#FFFFFF,#FFFFFF,#FFFFFF,4.65652079193733,1.26867413568592,5.96287871334971,-0.76901817,#FFEBD2,#DCE9F5,#FFFFFF,#FFFFFF
Hussain Williams,2472172,Coppin State,JR,1027,SF,31.1585750569248,47.7053365267163,71.3084837566429,22.2448113393632,#DCE9F5,#FFFFFF,#FFFFFF,#FFEBD2,8.6363566329473,2.82198586333309,-1.3223743418152,#FFFFFF,#FFFFFF,#FFFFFF,3.28333963196352,10.9438107031586,14.2271503351222,#FFFFFF,#FFFFFF,#FFFFFF,1.2672481552332,1.80254327671551,4.75139057435461,-1.4997544,#FFFFFF,#FFFFFF,#FFFFFF,#DCE9F5
